cadena,dades_nutri,descr_add,format,info_prod,ingredients,instr,marca,nom_producte,preu,preu_volum,subconjunt
BonPreu, per 100 gr  Valor energètic  3700 kJ / 900 Kcal  Greixos  100 g  dels quals saturats  16 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,"Oli d'oliva suau. Ric en vitamines A, D, E i K. Afavoreix l'absorció de minerals. País origen: Espanya.Nom de l'operador:BORGES BRANDED FOODS, SLU AV. JOSEP TREPAT I GALCERAN 38 25300, TARREGAAvís:La informació del producte pot no estar actualitzada. Et recomanem que revisis la informació de l'envàs del producte abans d'utilitzar-lo o consumir-lo, per confirmar la seva composició i al·lèrgens, entre altres.",1L,Oli d'oliva suau Borges en ampolla d'1 litre,INGREDIENTS: oli d'oliva refinat i oli d'oliva verge.,"Emmagatzemar en un lloc fresc i sec, lluny de la llum solar. Tancar després de cada ús.",BORGES,BORGES Oli d'oliva suau,4.99,,Nutrició esportiva
BonPreu, Per 100 ml  Valor energètic  3404 kJ / 828 kcal  Greixos  92 g  dels quals saturats  14 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,"Oli d'oliva verge extra d'oliva arbequina.Nom de l'operador:ACTEL, SCCLCTRA. VALL D'ARAN, KM 3 25196, LLEIDAAvís:La informació del producte pot no estar actualitzada. Et recomanem que revisis la informació de l'envàs del producte abans d'utilitzar-lo o consumir-lo, per confirmar la seva composició i al·lèrgens, entre altres.",0.75L,Oli d'oliva verge extra d'olives arbequines Germanor en ampolla de vidre de 750 ml,"INGREDIENTS: oli d'oliva verge extra de categoria superior, obtingut directament d'olives i tan sols mitjançant procediments mecànics.",Conservar protegit de la llum i la calor.,GERMANOR,GERMANOR Oli d'oliva verge extra,6.59,,Nutrició esportiva
BonPreu, per 100 g  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g  dels quals saturats  16 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,"Oli d'oliva verge extra.País d'origen: Espanya.Nom de l'operador:BORGES BRANDED FOODS, SLU AV. JOSEP TREPAT I GALCERAN 38 25300, TARREGAAvís:La informació del producte pot no estar actualitzada. Et recomanem que revisis la informació de l'envàs del producte abans d'utilitzar-lo o consumir-lo, per confirmar la seva composició i al·lèrgens, entre altres.",1L,Oli d'oliva verge extra Borges en ampolla d'1 litre,INGREDIENTS: oli d'oliva verge extra.,"Emmagatzemar en un lloc fresc i sec, lluny de la llum solar. Tancar després de cada ús.",BORGES,BORGES Oli d'oliva verge extra,5.99,,Nutrició esportiva
BonPreu, per 100 g  Valor energètic  900 kcal / 3700 kJ  Greixos  100 g  dels quals saturats  13 g  Hidrats de carboni  79 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,"Oli d'oliva. Conté olis d'oliva refinats i olis d'oliva verges.País d'origen: Espanya.Nom de l'operador:DEOLEO GLOBAL, S.A.U.Ctra N-IV Km 388 14610, ALCOLEAAvís:La informació del producte pot no estar actualitzada. Et recomanem que revisis la informació de l'envàs del producte abans d'utilitzar-lo o consumir-lo, per confirmar la seva composició i al·lèrgens, entre altres.",0.75L,Oli d'oliva verge extra Carbonell en ampolla de 750 ml,INGREDIENTS: oli d'oliva verge extra.,Mantenir en lloc fresc i sec.,CARBONELL,CARBONELL Oli d'oliva verge extra,4.69,,Nutrició esportiva
BonPreu, per 100 ml  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g  saturats  13 g  Hidrats de carboni  0 g  sucres  0 g  Proteïnes  0 g  Sal  0 g,"Oli d'oliva verge extra.Nom de l'operador:DEOLEO GLOBAL, S.A.U.Ctra N-IV Km 388 14610, ALCOLEAAvís:La informació del producte pot no estar actualitzada. Et recomanem que revisis la informació de l'envàs del producte abans d'utilitzar-lo o consumir-lo, per confirmar la seva composició i al·lèrgens, entre altres.",3L,Oli d'oliva verge extra Hojiblanca en garrafa de 3 litres,INGREDIENTS: oli d'oliva verge extra.,Mantenir en lloc fresc i sec.,HOJIBLANCA,HOJIBLANCA Oli d'oliva verge extra,15.99,,Nutrició esportiva
BonPreu, per 100 g  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g  dels quals saturats  16 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,"Oli d'oliva verge extra. Ric en vitamines A, D, E i K. Afavoreix l'absorció de minerals.Nom de l'operador:BORGES BRANDED FOODS, SLU AV. JOSEP TREPAT I GALCERAN 38 25300, TARREGAAvís:La informació del producte pot no estar actualitzada. Et recomanem que revisis la informació de l'envàs del producte abans d'utilitzar-lo o consumir-lo, per confirmar la seva composició i al·lèrgens, entre altres.",2L,Oli d'oliva verge extra Borges en garrafa de 2 litres,INGREDIENTS: oli d'oliva verge extra.,"Mantenir en un lloc fresc i sec, lluny de la llum solar.Tancar després de cada ús.",BORGES,BORGES Oli d'oliva verge extra,10.99,,Nutrició esportiva
BonPreu, per 100 g  Valor energètic  3.382 kJ / 822 kcal  Greixos  91 g  dels quals saturats  14 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,"Oli d'oliva verge extra d'arbequina de primera collita. Alt contingut en vitamina E extracció en fred.Nom de l'operador:EUROALIMENT PACSLUP.I.AL-KANIS - NAU A - CTRA N.230 KM. 11,2 25124, ROSSELLOAvís:La informació del producte pot no estar actualitzada. Et recomanem que revisis la informació de l'envàs del producte abans d'utilitzar-lo o consumir-lo, per confirmar la seva composició i al·lèrgens, entre altres.",0.5L,Oli d'oliva verge extra Pons en llauna de 500 ml,INGREDIENTS: oli d'oliva verge extra.,"Emmagatzemar en un lloc fresc i protegir de la llum directa. Per sota dels 6 ºC l'oli d'oliva es pot solidificar o enterbolir, la qual cosa no afecta a la seva qualitat.",PONS,PONS Oli d'oliva verge extra,4.75,,Nutrició esportiva
BonPreu, per 100 ml  Valor energètic  3040 kJ / 828 kcal  Greixos  92 g  dels quals saturats  12 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,"Oli d'oliva verge extra. Conté olis d'oliva refinats i olis d'oliva verges.Nom de l'operador:DEOLEO GLOBAL, S.A.U.Ctra N-IV Km 388 14610, ALCOLEAAvís:La informació del producte pot no estar actualitzada. Et recomanem que revisis la informació de l'envàs del producte abans d'utilitzar-lo o consumir-lo, per confirmar la seva composició i al·lèrgens, entre altres.",1L,Oli d'oliva verge extra Hojiblanca en ampolla d'1 litre,INGREDIENTS: oli d'oliva verge extra.,Mantenir en lloc fresc i sec.,HOJIBLANCA,HOJIBLANCA Oli d'oliva verge extra,5.49,,Nutrició esportiva
BonPreu, per 100 g  Valor energètic  3700 kJ / 900 kcal  Greixos  100 g  dels quals saturats  16 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,"Oli d'oliva suau. Conté exclusivament olis d'oliva refinats i olis d'oliva verges. Fabricat i envasat per BAIEO SAU - (Borges) per a BON PREU, SAU - Ctra. C-17, km. 73 - 08508 Les Masies de Voltregà.Avís:La informació del producte pot no estar actualitzada. Et recomanem que revisis la informació de l'envàs del producte abans d'utilitzar-lo o consumir-lo, per confirmar la seva composició i al·lèrgens, entre altres.",2L,"Oli d'oliva Bonpreu suau 0,4º acidesa màxima en ampolla de 2 litres",INGREDIENTS: oli d'oliva refinat i oli d'oliva verge extra.,Conserveu-lo en un lloc fresc i sec. Protegiu-lo de la llum. Tanqueu bé l'envàs després del seu ús.,BONPREU,BONPREU Oli d'oliva suau,6.39,,Nutrició esportiva
BonPreu, per 100 g  Valor energètic  900 kcal / 3700 kJ  Greixos  100 g  dels quals saturats  16 g  Hidrats de carboni  0 g  dels quals sucres  0 g  Proteïnes  0 g  Sal  0 g,"Oli d'oliva verge extra. Oli d'oliva de categoria superior obtingut directament de les olives i només mitjançant procediments mecànics. Oli d'origen espanyol. Fabricat i envasat per BAIEO SAU - (Borges) per a Bon Preu SAU, Ctra. C-17, km 73 - 08508 Les Masies de Voltregà.Avís:La informació del producte pot no estar actualitzada. Et recomanem que revisis la informació de l'envàs del producte abans d'utilitzar-lo o consumir-lo, per confirmar la seva composició i al·lèrgens, entre altres.",1L,Oli d'oliva verge extra Bonpreu en ampolla d'1 litre,INGREDIENTS: oli d'oliva verge extra.,Conserveu-lo en lloc fresc i sec i protegiu-lo de la llum. Tanqueu bé l'envàs després d'utilitzar-lo.,BONPREU,BONPREU Oli d'oliva verge extra,3.95,,Nutrició esportiva
